Report generated on: 09-09-2022 23:12:37
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.4413-2-WORL-QBTU.A","        Natural gas (quad Btu)","53.865223303","53.895423471","54.055255448","55.149772666","60.842896415","63.371661785","64.224390643","67.561969979","71.010048252","74.229726266","75.1232191863526","76.729898462955","77.11050758932","79.11024176793","79.00091895378","81.324420245955","83.19845674782","83.6992688324645","84.3733127522675","86.518865328148","89.60485067943","89.9313550030595","94.060202677925","96.78718448268","99.794809654715","102.60690568774","106.312122890923","109.720940385248","112.872765057765","109.14931366682482","119.42387934839795","122.99248610538244","125.80264763157163","127.65467615117959","128.14512471331605","130.05169300073453","132.69922920813946","137.12487931192592","143.92633979336338","146.55246004569938"
"INTL.4415-2-WORL-QBTU.A","        Petroleum and other liquids (quad Btu)","132.06401937163076","126.81113213676979","123.92428288938333","122.21533499685697","123.41709237538814","123.47159748556288","127.00641121864258","129.26577065229108","133.44581391475253","135.03680047363878","136.13683535643838","136.4451264799416","137.345319018864","136.16343206794198","138.87601794753226","141.64013121923213","146.06773545967124","148.1445005750949","149.88136000496192","153.0728196978422","156.67112586059235","157.85221459934087","159.34886425032704","162.7653067473212","169.56381240407177","171.64281650958287","173.98987622002196","176.9928081693747","176.06292039147468","172.66824674832594","178.98828298685015","180.24699007138364","182.33681436247468","184.63708635989795","187.26433545772144","188.48954714136485","194.21802474072163","196.80229563830335","198.2011259879813","197.32099859577235"
"INTL.4419-2-WORL-QBTU.A","        Nuclear, renewables, and other (quad Btu)","28.27974341543921","29.645649107315887","31.241224785898794","33.67875675466984","36.55333201908581","39.11620366540899","40.49400338056031","41.78660519800715","44.16776127254115","45.19932403800825","46.27920504973779","47.730110461507884","47.834141587201294","49.83010601044494","50.53680885256019","52.732038136321","54.19625096321092","54.29614404851673","54.699165438100955","56.12542468958561","57.1290418872942","57.5361075403844","58.10792088605778","58.07829381175223","60.86947003119851","62.61631514776686","64.33465837813198","64.88493571193895","67.0611297449297","68.00635390663614","72.15949601176376","73.00300824528956","73.20380559820714","77.01270606240224","79.88899007138454","81.26884883131908","84.743106512555","88.34620172625607","92.07586369501034","94.69521403267974"
"INTL.4417-2-WORL-QBTU.A","            Nuclear (quad Btu)","7.575700462108056","8.527153469041346","9.513564900249781","10.726269052400601","13.004801462616154","15.308215638891767","16.259214126257767","17.657473147580532","19.239734502687906","19.751988706903777","20.370349009889445","21.200391752851","21.293305112891","22.021933828870257","22.419615044868","23.271641998395108","24.12233346058731","23.894273308120038","24.3219089250932","25.0949486786868","25.66540234234877","26.39672752802685","26.687049583117595","26.3103814021426","27.26426676758241","27.32037650219456","27.6857650697614","27.17861208425301","27.04552305768614","26.65832584580376","27.371283484609023","26.249765870525543","24.49650856368213","24.654789068762053","25.24871323476304","25.51534762299271","25.919075483508795","26.205744800620568","26.764290136207443","27.829132183646088"
"INTL.4418-2-WORL-QBTU.A","            Renewables and other (quad Btu)","20.704042953331154","21.11849563827454","21.727659885649015","22.952487702269238","23.548530556469654","23.807988026517222","24.234789254302544","24.129132050426616","24.928026769853243","25.447335331104476","25.90885603984835","26.529718708656883","26.540836474310296","27.808172181574687","28.117193807692196","29.460396137925894","30.073917502623615","30.40187074039669","30.377256513007758","31.030476010898806","31.46363954494543","31.13938001235755","31.42087130294018","31.767912409609636","33.6052032636161","35.2959386455723","36.648893308370575","37.70632362768595","40.01560668724356","41.348028060832384","44.78821252715475","46.75324237476403","48.70729703452501","52.35791699364019","54.640276836621496","55.75350120832636","58.82403102904621","62.14045692563549","65.3115735588029","66.86608184903366"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-1-AFG-QBTU.A","    Production (quad Btu)","0.07256115614667066","0.09272365463746368","0.09506786743187949","0.09971281973566948","0.09982734303917455","0.12096783009943252","0.12054976892110061","0.114835081155632","0.1213943959239381","0.1192256243355804","0.11883270034801532","0.020505265929613076","0.016142546028099742","0.016076217734531384","0.01602405594096303","0.01173932564739467","0.012296322030705074","0.011832375737136715","0.011602889737136716","0.011591797443568358","0.011706709443568358","0.007509174600988823","0.007910393953594155","0.007810977272656924","0.007071474979088566","0.007292052505967328","0.007750630272656924","0.01368175746235599","0.014057641097205524","0.01858013914377475","0.02692579367150454","0.04104421211242948","0.037492262916033615","0.040816563280627896","0.04478950651933605","0.04205799729038833","0.04950511782484147","0.05950054255404184","0.06317585556177092","0.05521114952760256"
"INTL.4411-1-AFG-QBTU.A","        Coal (quad Btu)","0.0023552858074806604","0.0024740397484436876","0.002869886158469484","0.002869886158469484","0.0029292630391745574","0.002988640099432511","0.0031667709211006113","0.003305317155631996","0.0027313399239380994","0.0025136243355804028","0.002078193338417891","0.0018604779296130752","0.0001583385280997425","0.00013854623453138476","0.00011875394096302701","0.00009896164739466925","0.000059376880705073264","0.00003958458713671551","0.00003958458713671551","0.000019792293568357753","0.000019792293568357753","0.0005146003509888235","0.00041563870359415426","0.0006927311726569238","0.000672938879088566","0.0006531464059673279","0.0006927311726569238","0.00480953326235599","0.006867934307205523","0.00989615899377475","0.014349430612794539","0.029292594481169477","0.024542444024763615","0.026660219436577894","0.030032826260626058","0.027016480720808336","0.03360731447907147","0.04336491520827184","0.04839215777463471","0.042335715942717234"
"INTL.4413-1-AFG-QBTU.A","        Natural gas (quad Btu)","0.06282","0.082713","0.084807","0.088995","0.088995","0.109935","0.109935","0.103653","0.110982","0.108888","0.10889059500959744","0.011517","0.0110924415","0.0110924415","0.01108773","0.00739182","0.00850420515","0.00850420515","0.00850420515","0.00850420515","0.00850420515","0.00184874025","0.00184874025","0.0007394961","0.0007394961","0.0007394961","0.0007394961","0.0014789922","0.00184874025","0.00110924415","0.00524668025871","0.00596768283126","0.00592701089127","0.00571255884405","0.00524668025871","0.00540567056958","0.00611188334577","0.00611188334577","0.00599833778713622","0.005039073584885323"
"INTL.4415-1-AFG-QBTU.A","        Petroleum and other liquids (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
